raw_street,raw_area
60 Mitchell Street,"Brooklyn, Wellington, Wellington"
24 Keri Anne Place,"Goodwood Heights, Auckland, Auckland South"
9 Lakeside Drive,"Pegasus, Canterbury"
Huruni Drive,"Napier, Hawkes Bay/Gisborne"
118 Victoria Street,"Te Aro, Wellington, Wellington"
313 Karaitiana Street,"Frimley, Hastings, Hawkes Bay/Gisborne"
Lagoon Drive,"Panmure, Auckland, Auckland City"
45-55 Courtenay Place,"Te Aro, Wellington, Wellington"
3 Fergy Place,"Rototuna North, Hamilton, Waikato"
13 Helicon Street,"Pegasus, Canterbury"
10E Crows Road,"Swanson, Auckland, Auckland West"
off Pukehangi Road,"Rotorua, Bay of Plenty"
45 Goldsmith Street,"Cambridge, Waikato"
218 Delamore Drive,"Oneroa, Waiheke Island, Auckland City"
8-9 Dalgleish Lane,"Millbrook, Arrowtown, Otago"
35 Skippers Road,"Opito Bay, Whitianga, Waikato"
66A Gordon Road,"Mosgiel, Otago"
90 Richfield Drive,"Waikiwi, Invercargill, Southland"
Moorhouse Avenue,"Central Christchurch, Canterbury"
34 Catherine McLean Road,"Pukekohe, Auckland South"
5 Lawson Creek Street,"Massey, Auckland, Auckland West"
18B Mowat Street,"Springlands, Blenheim, Nelson/Marlborough"
8 Gards Place,"Alexandra, Otago"
104 Gloucester Road,"Manurewa, Auckland, Auckland South"
14 Kiteone Road,"Parua Bay, Whangarei, Northland"
"Tapapa Lane, 24 Jackson Street","Ngaruawahia, Waikato"
828 Selwyn Road,"Rolleston, Canterbury"
11 Mavora Place,"Heidelberg, Invercargill, Southland"
8 Glenda Place,"Seaward Bush, Invercargill, Southland"
19B Bowling Road,"Greenmeadows, Napier, Hawkes Bay/Gisborne"
435 Kingston Road,"Jacks Point, Queenstown, Otago"
635-639 Koropupu Street,"Pukekohe, Auckland, Auckland South"
32 Godley Drive,"Scarborough, Christchurch, Canterbury"
11D Hillary Court,"Naenae, Lower Hutt, Wellington"
46 Brown Road,"Tuakau, Waikato"
1A Pumau Place,"Flat Bush, Auckland, Auckland South"
65 Tama Street,"Alicetown, Lower Hutt, Wellington"
519 Seadown Road,"Timaru, Canterbury"
29 Geldard Drive,"Rolleston, Canterbury"
14 Rivercove Lane,"Flagstaff, Hamilton, Waikato"
Cnr Ashley Street & High Street,"Rangiora, Canterbury"
Omanawa Falls Road,"Kaimai's, Tauranga, Bay of Plenty"
414 Salisbury Road,"Maraekakaho, Hawkes Bay/Gisborne"
94C Racecourse Road,"Waipukurau, Hawkes Bay/Gisborne"
8 Evan Tasman Lane,"Waiuku, Auckland South"
32 Te Kohanga Drive,"Pegasus, Canterbury"
20 Russell Heights,"Russell, Northland"
46 Tinwald Westerfield Mayfield Road,"Westerfield, Ashburton, Canterbury"
64 Galeo Road,"Redwood Valley, Richmond, Nelson/Marlborough"
51A Rawhiti Avenue,"Matamata, Waikato"
75 Denbigh Street,"Feilding, Manawatu/Whanganui"
Waimakariri Drive & Aparima Place,"Napier, Hawkes Bay/Gisborne"
104 Studholme Road,"Wanaka, Otago"
37 Friedlanders Road,"Manurewa, Auckland, Auckland South"
2 Brett Lane,"Jacks Point, Queenstown, Otago"
48 Oak Ridge Drive,"Te Awamutu, Waikato"
60 Douglas Street,"Highfield, Timaru, Canterbury"
36 Whittington Drive,"Rolleston, Canterbury"
24 Central Park Avenue,"Lake Hayes, Queenstown, Otago"
213 Northbank Road,"Kaituna, Nelson/Marlborough"
58 Kemp Road,"Massey, Auckland, Auckland West"
11 Farmar Street,"Blenheim, Nelson/Marlborough"
1 Gladys Place,"Levin, Manawatu/Whanganui"
21-23 Skipton Street,"Mangere East, Auckland, Auckland South"
15 Hyforce Way,"Bethlehem, Tauranga, Bay of Plenty"
25 Pukemarino Road,"Waimauku, Auckland North Shore"
13 Fernbird Avenue,"Te Kauwhata, Waikato"
9 Blue Moon Rise,"Langs Beach, Waipu, Northland"
12 Croatia Avenue,"Huapai, Kumeu, Auckland West"
33 Papaunahi Road,"Bowentown, Waihi Beach, Waikato"
500 Southland Road,"Raureka, Hastings, Hawkes Bay/Gisborne"
295 Martin Road,"Waerenga, Te Kauwhata, Waikato"
30 Silicon Way,"Fitzherbert, Palmerston North, Manawatu/Whanganui"
55 Allen Street,"Morrinsville, Waikato"
2 Acheron Avenue,"Lake Coleridge, Canterbury"
11 Tohetea Lane,"Wharekaho, Whitianga, Waikato"
26 Croydon Street,"Woodend, Canterbury"
21 Portland Drive,"Mangorei, New Plymouth, Taranaki"
93 Spalling Road,"Halswell, Christchurch, Canterbury"
3 Brooke Place,"Alexandra, Otago"
17 Joslen Way,"Kaiapoi, Canterbury"
2 Sampsons Way,"Dargaville, Northland"
102A Mead Street,"Avondale, Auckland, Auckland City"
9 Ardnave Lane,"Broomfield, Christchurch, Canterbury"
141 Newell Road,"Kinleith, Tokoroa, Waikato"
6 Livery Lane,"Taupaki, Auckland North Shore"
40 Sartors Avenue,"Northcross, Auckland, Auckland North Shore"
18 Inglis Street,"Seatoun, Wellington, Wellington"
6 Barnett Street,"Woodend, Canterbury"
60 Watkins Road,"Cambridge, Waikato"
3 Visko Way,"Ohauiti, Tauranga, Bay of Plenty"
7 Iris Place,"Grandview Heights, Hamilton, Waikato"
25 Arihi Crescent,"Frimley, Hastings, Hawkes Bay/Gisborne"
44 Sandhill Heights,"Mangawhai, Northland"
19 Picadilly Avenue,"Casebrook, Christchurch, Canterbury"
141 Kermode Street,"Ashburton, Canterbury"
50 Romina Way,"Martinborough, Wairarapa"
Rautawhiri Road,"Helensville, Auckland, Auckland North Shore"
23 Herbert Oldham Road,"Pokeno, Waikato"
25 Dublin Street,"Whanganui, Manawatu/Whanganui"
8 Symes Drive,"Red Beach, Auckland North Shore"
48 Spars Road,"Wainui, Auckland, Auckland North Shore"
720 Main North Road,"Bay View, Napier, Hawkes Bay/Gisborne"
76 Te Hurunui Drive,"Pegasus, Canterbury"
27 Rehua Drive,"Ngaruawahia, Waikato"
8 Chelsea Lane,"Rolleston, Canterbury"
96 Clausen Avenue,"Leeston, Canterbury"
4 Dawkins Street,"Cromwell, Otago"
178 McLeod Road,"Te Atatu South, Auckland, Auckland West"
18 Austin Reid Avenue,"Carterton, Wairarapa"
1 Woodward Avenue,"Mangere Bridge, Auckland, Auckland South"
66 Klinac Lane,"Waipapa, Northland"
11 Jessop Street,"South Hill, Oamaru, Otago"
3 Guy King Place,"Huntly, Waikato"
54 Rodney Street,"Howick, Auckland, Auckland South"
40 Nanleen Rise,"Manurewa, Auckland, Auckland South"
30 Highgate Parkway,"Silverdale, Auckland, Auckland North Shore"
4 Riverpoint Glade,"Flagstaff, Hamilton, Waikato"
8 Halyard Loop,"Haruru, Northland"
130 Alawaya Rise,"Te Awamutu, Waikato"
Hardings Road,"Riverlands, Nelson/Marlborough"
6 Manatika Road,"Karaka, Papakura, Auckland South"
8 Suez Street,"Martinborough, Wairarapa"
19 Marbleleaf Lane,"Albert Town, Wanaka, Otago"
16 Walter Lawry Road,"Paerata, Pukekohe, Auckland South"
13 Medland Place,"Puketaha, Hamilton, Waikato"
22 Aspiring Drive,"Napier, Hawkes Bay/Gisborne"
300 Puahue Road,"Te Awamutu, Waikato"
51D Lennon Access Road,"Stillwater, Auckland, Auckland North Shore"
14 Falconer Rise,"Jacks Point, Queenstown, Otago"
1945 Tutukau Road,"Orakei Korako, Taupo, Waikato"
10 Whenuapai Drive,"Whenuapai, Auckland, Auckland West"
9 Jacaranda Grove,"Maungaraki, Lower Hutt, Wellington"
10 Kurnell Drive,"Botany Downs, Auckland, Auckland South"
4 Manaia Place,"Papamoa, Bay of Plenty"
2 Mahia Lane,"Waikanae, Kapiti Coast, Wellington"
73C Gowing Drive,"Meadowbank, Auckland, Auckland City"
151 Victoria Road,"Cambridge, Waikato"
48 Whenuapai Drive,"Whenuapai, Auckland, Auckland West"
27 Beckby Way,"Clevedon, Auckland, Auckland South"
48 Panorama Road,"Clifton, Christchurch, Canterbury"
145 Maukutea Drive,"Kawhia, Waikato"
22 Royton Avenue,"Mangere East, Auckland, Auckland South"
3 Utah Place,"Burwood, Christchurch, Canterbury"
13 Puruatanga Drive,"Flat Bush, Auckland, Auckland South"
2 & 4 Tawa Lane,"Rolleston, Canterbury"
326A Airport Road,"Rukuhia, Hamilton, Waikato"
57 Sylvia Road,"Hillcrest, Auckland, Auckland North Shore"
9 Springhill Lane,"Sunnyvale, Auckland, Auckland West"
65 Ranch Road,"Mt Maunganui, Bay of Plenty"
270 Whites Road,"Ohoka, Canterbury"
15 Council Street,"Saint Kilda, Dunedin, Otago"
58R Kerrs Road,"Manukau, Auckland, Auckland South"
10 Symonds Street,"Auckland Central, Auckland, Auckland City"
72 Hinepango Drive,"Rarangi, Nelson/Marlborough"
47A West Street,"Pukekohe, Auckland South"
11 Landsborough Drive,"Darfield, Canterbury"
106 Somerfield Street,"Somerfield, Christchurch, Canterbury"
73 Te Paea Avenue,"Paerata, Pukekohe, Auckland South"
7 Tapeka Heights Lane,"Russell, Northland"
3 Vaughan Drive,"Rolleston, Canterbury"
128L Matapihi Station Road,"Matapihi, Mt Maunganui, Bay of Plenty"
25 Park Street,"Morrinsville, Waikato"
1139 Maraekakaho Road,"Hastings, Hawkes Bay/Gisborne"
63 Union Drive,"Papamoa, Tauranga, Bay of Plenty"
116 Seaview Road,"Whangamata, Waikato"
21 Nautical Heights,"Mangawhai Heads, Mangawhai, Northland"
4 Amur Crescent,"Rolleston, Canterbury"
201 Walters Road,"Papakura, Auckland, Auckland South"
Lot 4 Summit Lane,"Ben Lomond, Queenstown, Otago"
20A Duke Street,"Riverhead, Auckland North Shore"
6 Clegg Street,"Woodend, Canterbury"
25 McCandlish Road,"Ngahinapouri, Ohaupo, Waikato"
6 Ocean Beach Road,"Whangarei Heads, Northland"
106 Clarence Street,"Ponsonby, Auckland, Auckland City"
Dr Pickering Avenue,"Manurewa, Auckland, Auckland South"
"6 Pa Ariki Road, 8 Pa Ariki Road, 10 Pa Ariki Road, 12 Pa Ariki Road","Te Kauwhata, Waikato"
11 Olney Court,"One Tree Point, Northland"
799 Waiwhero Road,"Ngatimoti, Motueka, Nelson/Marlborough"
26 Foster Place,"Mount Pisa, Cromwell, Otago"
553 Church Street,"Terrace End, Palmerston North, Manawatu/Whanganui"
170 Estuary Drive,"Mangawhai Heads, Mangawhai, Northland"
2-12 Albertson Avenue,"Port Chalmers, Dunedin, Otago"
30 Flygers Line,"Milson, Palmerston North, Manawatu/Whanganui"
168A Buffalo Beach Road,"Whitianga, Waikato"
2 Strachan Place,"Rangiora, Canterbury"
41 Sackville Street,"Grey Lynn, Auckland, Auckland City"
22 Southridge Road,"Flat Bush, Auckland, Auckland South"
2 Mid Puniho Road,"Warea, Taranaki"
11 Montiicola Drive,"Papamoa Beach, Papamoa, Bay of Plenty"
23A Sycamore Grove,"Lower Vogeltown, New Plymouth, Taranaki"
8 Lees Street,"Wainui, Auckland North Shore"
79 Kokiri Crescent,"Porirua, Wellington"
27 Blue Penguin Drive,"Kerikeri, Northland"
47 Glover Road,"St Heliers, Auckland, Auckland City"
287 Castle Street,"Dunedin Central, Dunedin, Otago"
51 Anne Burton Drive,"Warkworth, Auckland North Shore"
166 Campbell Road,"Brunswick, Manawatu/Whanganui"
27 Clark Street,"Sumner, Christchurch, Canterbury"
"31 Puwha Street, 33 Puwha Street, 35 Puwha Street","Massey, Auckland, Auckland West"
47 Streamside Terrace,"Kaiapoi, Canterbury"
12 Tahi Street,"Albert Town, Wanaka, Otago"
287B Millars Road,"Carterton, Wairarapa"
3 Matikao Way,"Pukekohe, Auckland, Auckland South"
29 Umbria Lane,"Flat Bush, Auckland, Auckland South"
6 Bryden Place,"Halswell, Christchurch, Canterbury"
1267L Rangiuru Road,"Rangiuru, near Te Puke, Bay of Plenty"
80 Parklands Avenue,"Bell Block, New Plymouth, Taranaki"
14 Crosties Crescent,"Whitford, Auckland, Auckland South"
25 Aoraki Crescent,"Twizel, Canterbury"
"6 Belgrave Place, 38 President Avenue","Papakura, Auckland, Auckland South"
1117 Omamari Road,"Omamari, Dargaville, Northland"
17 Massey Avenue,"Pukekohe, Auckland, Auckland South"
12 Karearea Drive,"Coastlands, Whakatane, Bay of Plenty"
1419 Springs Road,"Lincoln, Canterbury"
50 Tiritiri Moana Drive,"Pegasus, Canterbury"
26 Onekiritea Road,"Hobsonville Point, Auckland, Auckland West"
49A Wallace Place,"Westown, New Plymouth, Taranaki"
33 White Road,"Taupo, Waikato"
77 Puwha Street,"Massey, Auckland, Auckland West"
38 Greenhill Crescent,"Pakuranga, Auckland, Auckland South"
5 Cronshaw Road,"Karaka, Papakura, Auckland South"
52A Western Road,"Bellevue, Tauranga, Bay of Plenty"
403-409 & 415 Remuera Road,"Remuera, Auckland, Auckland City"
8 Hallmark Drive,"Hope, Richmond, Nelson/Marlborough"
88 Hewletts Road,"Tauranga, Bay of Plenty"
1 Goddard Way,"Sawyers Bay, Port Chalmers, Otago"
13 Minden Hill Lane,"Minden, Tauranga, Bay of Plenty"
14 Laings Road,"Hutt Central, Lower Hutt, Wellington"
146 Papanui Road,"Merivale, Christchurch, Canterbury"
17-19 Parker Avenue,"New Lynn, Auckland, Auckland West"
30 Wi Pere Street,"Manakau, Manawatu/Whanganui"
11 Travertine Street,"Cromwell, Otago"
73 Linwood Avenue,"Linwood, Christchurch, Canterbury"
14 Connell Street,"Waihi, Waikato"
119 Newell Road,"Tamahere, Hamilton, Waikato"
Tara Iti Drive,"Mangawhai, Northland"
19 Rawiri Drive,"Bell Block, New Plymouth, Taranaki"
20 Zabeel Street,"Lincoln, Canterbury"
24 Tomo Street,"New Lynn, Auckland, Auckland West"
72 Te Rito Street,"Marshland, Christchurch, Canterbury"
5 Glendhu Road,"Bayview, Auckland, Auckland North Shore"
16 Drayton Street,"Richmond, Nelson/Marlborough"
319 Island Road,"Kaiapoi, Canterbury"
16 Bale Close,"Papamoa, Bay of Plenty"
8 Chatsworth Avenue,"Rangiora, Canterbury"
6 Burrow Street,"Rolleston, Canterbury"
163C Great North Road,"Otamatea, Whanganui, Manawatu/Whanganui"
78 Springfield Road,"Milton, Otago"
5 Peachgrove Road,"Te Atatu Peninsula, Auckland, Auckland West"
4 Ginty Way,"Waipu, Northland"
20 Colombo Road,"Masterton, Wairarapa"
10 Gladbrook Street,"Wanaka, Otago"
9 Kano Way,"Hobsonville Point, Auckland, Auckland South"
17 Springwater Lane,"Pyes Pa, Tauranga, Bay of Plenty"
7-183 Two Chain Road,"Rolleston, Canterbury"
9 Kitchener Square,"Highfield, Timaru, Canterbury"
75 Totara Park Lane (Pvt),"Whangarei, Northland"
28-34 Frederick Street,"Phillipstown, Christchurch, Canterbury"
23 Farnham Street,"Mornington, Wellington, Wellington"
11 John Burns Road,"Takanini, Auckland South"
3 Edward Abell Street,"Wainui, Auckland North Shore"
6 Burns Street,"Westown, New Plymouth, Taranaki"
29 Sullivan Avenue,"Woolston, Christchurch, Canterbury"
51 Lakeside Drive,"Pegasus, Canterbury"
McCardle Road,"Whangarei, Northland"
6 Otamuhua Lane,"Diamond Harbour, Canterbury"
1 Silverview Place,"Mosgiel, Otago"
1179 Arapuni Road,"Parawera, Waikato"
341 Pinecrest Drive,"Gulf Harbour, Whangaparaoa, Auckland North Shore"
64S Port Hills Road,"Heathcote Valley, Christchurch, Canterbury"
24 Newlands Road,"Newlands, Wellington, Wellington"
9 Gimbal Place,"Gleniti, Timaru, Canterbury"
38 McKillop Street,"Ranui, Porirua, Wellington"
1 Stott Avenue,"Birkdale, Auckland, Auckland North Shore"
19 Len Ireland Drive,"Kumeu, Auckland, Auckland West"
9 Frankfield Road,"Pokeno, Waikato"
27 Selfe Crescent,"Burwood, Christchurch, Canterbury"
5 Joyce Harsant Place,"Cooks Beach, Whitianga, Waikato"
11A Okura River Road,"Okura, Auckland, Auckland North Shore"
83 Minhas Road,"Papakura, Auckland South"
1 Grand Terrace Square,"Queenstown, Otago"
139 Kolmar Road,"Papatoetoe, Auckland, Auckland South"
Orchard Road,"Hahei, Coromandel Peninsula, Waikato"
9 Cobham Lane,"Whitianga, Waikato"
Cnr Seabrook Avenue & Armstrong Place,"New Lynn, Auckland, Auckland City"
73 Farthing Drive,"Prebbleton, Canterbury"
36 Selfe Crescent,"Burwood, Christchurch, Canterbury"
44 McKean Avenue,"Manurewa, Auckland, Auckland South"
346 Evans Bay Parade,"Hataitai, Wellington, Wellington"
1 Industry Avenue,"Islington, Christchurch, Canterbury"
22 Ngarahana Avenue,"Paremoremo, Auckland, Auckland North Shore"
21 Silverton Avenue,"Wai O Taiki Bay, Auckland, Auckland City"
14 Blue Gum Place,"New Brighton, Christchurch, Canterbury"
45 Walton Park Avenue,"Fairfield, Dunedin, Wellington"
45 Corsair Drive,"Wigram, Christchurch, Canterbury"
23 Flat Bush School Road,"Flat Bush, Auckland, Auckland South"
53 Clearview Street,"Wanaka, Otago"
30 Moa Avenue,"Oneroa, Waiheke Island, Auckland City"
Kingston Road & Woolshed Road,"Queenstown, Otago"
79 Matipo Road,"Mairangi Bay, Auckland, Auckland North Shore"
15 Village Lane,"Stoke, Nelson, Nelson/Marlborough"
4 Avanda Avenue,"Rolleston, Canterbury"
170 Eskridge Drive,"Eskdale, Napier, Hawkes Bay/Gisborne"
4 Keys Terrace,"St Heliers, Auckland, Auckland City"
49 Bethany Road,"Rolleston, Canterbury"
17 Turret Lane,"Hobsonville Point, Auckland, Auckland West"
Springfield Road,"Whangarei, Northland"
25 Valley Road,"Hikurangi, Whangarei, Northland"
Tara Road,"Kaipara District, Northland"
14 Portland Street,"Dargaville, Northland"
9 Bendridge Street,"Flat Bush, Auckland, Auckland South"
15 & 19 Rawhiti Avenue,"New Brighton, Christchurch, Canterbury"
7 Roto View,"One Tree Point, Whangarei, Northland"
6 Mutetai Road,"Clarks Beach, Auckland South"
58 Ohau Drive,"Lake Ohau, Omarama, Otago"
"Grove Road, Gosgrave Road & Old Wairoa Road","Takanini, Auckland, Auckland South"
10 Churchill Avenue,"Hokowhitu, Palmerston North, Manawatu/Whanganui"
419 Montgomery Street,"Raureka, Hastings, Hawkes Bay/Gisborne"
40 Hinekura Road,"Martinborough, Wairarapa"
66 Avonleigh Road,"Green Bay, Auckland, Auckland West"
10 Burrow Street,"Rolleston, Canterbury"
675-679 Great North Road,"Grey Lynn, Auckland, Auckland City"
11 Graham McRae Place,"Hampton Downs, Te Kauwhata, Waikato"
10 Rossbeg Lane,"Flat Bush, Auckland, Auckland South"
50 Farronfore Road,"Opaheke, Papakura, Auckland South"
56 Brittan Street,"Hokitika, West Coast"
"79 Buffalo Beach Road, SH 25","Whitianga, Coromandel Peninsula, Waikato"
3 & 4 Taepu Road,"Pukekohe, Auckland, Auckland South"
115 Rongotai Road,"Kilbirnie, Wellington, Wellington"
102 Rako Drive,"Mangawhai, Northland"
93 Loop Line,"Masterton, Wairarapa"
"71,73,75 & 77 Aorangi Road","Bryndwr, Christchurch, Canterbury"
4 Seafoam Road,"Hingaia South, Auckland, Auckland South"
19 Serenity Crescent,"Palmerston North, Manawatu/Whanganui"
2 Penberley Road,"Prebbleton, Canterbury"
40 Redbrook Road,"Casebrook, Christchurch, Canterbury"
7A Galbraith Street,"Ngaruawahia, Waikato"
21-43 Ara Hereke,"Waikanae, Wellington"
58 Litten Road,"Cockle Bay, Auckland, Auckland South"
34 Tawa Crescent,"Manurewa, Auckland, Auckland South"
159B Te Puna Road,"Te Puna, Tauranga, Bay of Plenty"
13 Salisbury Crescent,"Trentham, Upper Hutt, Wellington"
Treeline Lane,"Flat Bush, Auckland, Auckland South"
122 Gardiners Road,"Harewood, Christchurch, Canterbury"
49 Opoka Street,"Papakura, Auckland, Auckland South"
8 Kimbrae Drive,"Rototuna North, Hamilton, Waikato"
6 Woodley Avenue,"Pukaki, Canterbury"
35 Maunganamu Drive,"Wharewaka, Taupo, Waikato"
12 Marshall Road,"Awhitu, South Auckland, Auckland South"
10 Bell Street,"Whanganui, Manawatu/Whanganui"
8 Valonia Street,"New Windsor, Auckland, Auckland City"
16 Impala Place,"Whitianga, Waikato"
55 Faulks Drive,"Lincoln, Canterbury"
72 Gordon Street,"Mosgiel, Dunedin, Otago"
47 Ken Douglas Drive,"Aotea, Porirua, Wellington"
4 Gibbon Street,"Sydenham, Christchurch, Canterbury"
24 Acacia Avenue,"Kihikihi, Te Awamutu, Waikato"
168 Carlton Street,"Bellevue, Tauranga, Bay of Plenty"
146 Wainui Road,"Silverdale, Auckland North Shore"
12 Miro Road,"Greenlane, Auckland, Auckland City"
1/3 Blackmore Street,"Greymouth, West Coast"
Riverside Road,"Balclutha District, Otago"
227 De Havilland Drive,"Bell Block, New Plymouth, Manawatu/Whanganui"
1/100 Shakespeare Lane,"Milford, Auckland, Auckland North Shore"
432 & 434 Don Buck Road,"Massey, Auckland, Auckland West"
4 Lynette Place,"Pauanui, Waikato"
63 Hamlin Road,"Mt Wellington, Auckland, Auckland City"
18 & 1/18 Ranui Station Road,"Ranui, Auckland, Auckland West"
81 Konini Street,"Parahaki, Whangarei, Northland"
Lennel Road,"Wadestown, Wellington, Wellington"
116 Jarden Mile,"Nukuhau, Taupo, Waikato"
"18, 24, 26 Strathmore Avenue","Strathmore Park, Wellington, Wellington"
14-16 Connell Street,"Waihi, Waikato"
24 Watson Place,"Papatoetoe, Auckland, Auckland South"
82 & 92 Raleigh Road,"Northcote, Auckland, Auckland North Shore"
93 Milns Road,"Halswell, Christchurch, Canterbury"
53 Bella Vita Drive,"Lincoln, Canterbury"
256 Bridle Path Road,"Ferrymead, Christchurch, Canterbury"
1/69 Bishop Street,"St Albans, Christchurch, Canterbury"
2/177 Edgeware Road,"St Albans, Christchurch, Canterbury"
13 Brenley Drive,"Rolleston, Canterbury"
76 Hobsonville Road,"West Harbour, Auckland, Auckland West"
Cavendish Road,"Redwood, Christchurch, Canterbury"
1 Bowen Street,"Marton, Manawatu/Whanganui"
10 Hanworth Road,"Richmond, Nelson/Marlborough"
11 Stirling Street,"Kakanui, Oamaru, Otago"
44 Lumbarda Drive,"Kumeu, Auckland West"
20 Tamihana Street,"Otaki, Wellington"
22B MacKenzie Street,"Putaruru, Waikato"
4 Beaumonts Way,"Manurewa, Auckland, Auckland South"
63D Brooklands Road,"Brooklands, New Plymouth, Taranaki"
91 Fred Taylor Drive,"Westgate, Auckland, Auckland West"
13 Harness Way,"Rolleston, Canterbury"
2 Rylstone Way,"Te Kauwhata, Waikato"
132 Wilks Road,"Dairy Flat, Auckland, Auckland North Shore"
38 Bremner Ridge Street,"Flat Bush, Auckland, Auckland South"
6 Maui Place,"Kamo, Whangarei, Northland"
46 Te Raki Drive,"Lincoln, Canterbury"
17 Sumner Place,"Kamo, Whangarei, Northland"
14 Boston Crescent,"Hastings, Hawkes Bay/Gisborne"
35 Spur Ridge Rise,"Jacks Point, Queenstown, Otago"
12 Te Awanga Terrace,"Te Awanga, Hawkes Bay/Gisborne"
178 Kanuka Drive,"Waitarere, Levin, Manawatu/Whanganui"
28 Boyes Avenue,"Whenuapai, Auckland, Auckland West"
"38 Boyes Avenue, 40 Boyes Avenue","Whenuapai, Auckland, Auckland West"
1/308F Sea View Road,"Ostend, Waiheke Island, Auckland City"
6 Murphy Road,"Napier, Hawkes Bay/Gisborne"
493 Brighton Road,"Westwood, Dunedin, Otago"
53 McConnell Road,"Orini, Waikato"
288 Frankley Road,"Ferndale, New Plymouth, Taranaki"
2080 Rings Road,"Coromandel, Waikato"
12 Pinehurst Crescent,"Morrinsville, Waikato"
80D Hunua Road,"Papakura, Auckland, Auckland South"
5 Tiro Street,"Flat Bush, Auckland, Auckland South"
22 The Esplanade,"Tairua, Waikato"
40 & 40A Boundary Road,"Bishopdale, Nelson, Nelson/Marlborough"
30 Maui Pomare Street,"Blockhouse Bay, Auckland, Auckland City"
2A & 4 Brandon Road,"Glen Eden, Auckland, Auckland West"
9 Glenaven Drive,"Motueka, Nelson/Marlborough"
79 Antigua Street,"Addington, Christchurch, Canterbury"
17 Walter Ruddock Avenue,"Kumeu, Auckland, Auckland North Shore"
1203 Camerons Line,"Aorangi, Feilding, Manawatu/Whanganui"
1896 Cambridge Road,"Cambridge, Waikato"
9 Jade Court,"Rolleston, Canterbury"
18 Mail Avenue,"Weymouth, Auckland, Auckland South"
5 Akaroa Drive,"Maupuia, Wellington, Wellington"
35 Palm Avenue,"Lyall Bay, Wellington, Wellington"
5 Bruce Avenue,"Glenview, Hamilton, Waikato"
13 McIvor Place,"Rangiora, Canterbury"
16C Sandleigh Drive,"Athenree, Waihi Beach, Waikato"
23 Halpin Drive,"Lincoln, Canterbury"
8 Utting Street,"Birkdale, Auckland, Auckland North Shore"
62 Swayne Road,"Cambridge, Waikato"
26 William Paul Street,"Cambridge, Waikato"
73 Lambeth Road,"Sandringham, Auckland, Auckland City"
2548 SH 5,"Ohaaki, Reporoa, Waikato"
7A Watson Place,"Papatoetoe, Auckland, Auckland South"
1 Crompton Avenue,"Churton Park, Wellington, Wellington"
29 Kirirua Avenue,"Halswell, Christchurch, Canterbury"
85 Pakanga Grove,"Pyes Pa, Tauranga, Bay of Plenty"
425 Tuhimata Road,"Paerata, Pukekohe, Auckland South"
5 Te Piriti Road,"One Tree Point, Northland"
19 Centennial Place,"Campbells Bay, Auckland, Auckland North Shore"
44 Paparahi Place,"Orewa, Auckland North Shore"
8 Surf View Crescent,"Red Beach, Auckland North Shore"
1161 Eighty Eight Valley Road,"Eighty Eight Valley, Wakefield, Nelson/Marlborough"
51 Tobollie Drive,"Rolleston, Canterbury"
3 Wairau Lane,"Aotea, Porirua, Wellington"
9 Pheasant Lane,"Te Puna, Tauranga, Bay of Plenty"
4 Ramarama Lane,"Crofton Downs, Wellington, Wellington"
20 Tabor Place,"Lincoln, Canterbury"
17 Clement Avenue,"Rolleston, Canterbury"
117 Union Drive,"Papamoa, Bay of Plenty"
8 Palm Drive,"Whitianga, Waikato"
29 A & 31A Tasman Street,"Pukekohe, Auckland, Auckland South"
6 Tokatai Road,"Waimauku, Auckland West"
140 Horton Road,"Tasman, Upper Moutere, Nelson/Marlborough"
79 Elizabeth Street,"Mt Victoria, Wellington, Wellington"
7 Proctor Street,"Papanui, Christchurch, Canterbury"
174 Fairway Drive,"Kamo, Whangarei, Northland"
22 Watene Way,"Welcome Bay, Tauranga, Bay of Plenty"
114A Washington Road,"Nelson, Nelson/Marlborough"
33 Connolly Street,"Geraldine, South Canterbury, Canterbury"
28 McLean Street,"Pokeno, Waikato"
18 Spencer Place,"Springlands, Blenheim, Nelson/Marlborough"
20 Rangitahi Road,"Raglan, Waikato"
655 East Maddsons Road,"Rolleston, Canterbury"
7 Kimberley Road,"Epsom, Auckland, Auckland South"
2 Walsall Street,"Avondale, Auckland, Auckland City"
Makokomiko Road,"Hikumutu, Taumarunui, Waikato"
83 Coverdale Street,"Onekawa, Napier, Hawkes Bay/Gisborne"
140E Minden Road,"Minden, Tauranga, Bay of Plenty"
10 Rikihana Way,"Otaki, Wellington"
4 Rore Street,"Motueka, Nelson/Marlborough"
3 Hayley Court,"Wainui, Auckland North Shore"
1831 Whangarei Heads Road,"Whangarei Heads, Northland"
50 Oaks Drive,"Lincoln, Canterbury"
148 Meadows Road,"Timaru, Canterbury"
3 Matukituki Crescent,"Twizel, Canterbury"
18 Papa Orchard Drive,"Kumeu, Auckland, Auckland North Shore"
138 High Street,"Leeston, Canterbury"
27 George Town Drive,"Beachlands, Auckland, Auckland South"
15 Oregon Heights,"Hanmer Springs, Canterbury"
205-209 Trafalgar Street,"Nelson, Nelson/Marlborough"
Oturoa Road,"Hamurana, Rotorua, Bay of Plenty"
4 Bollington Avenue,"Kaiapoi, Canterbury"
122 McFaddens Road,"St Albans, Christchurch, Canterbury"
